views,likes,dislikes
691451,13285,752
5921703,281353,4681
239296,3342,97
408766,44168,778
4662938,128342,2072
1651012,27023,533
281658,5133,122
824175,5697,569
857879,105717,766
797937,77562,821
13797514,1007626,20358
76654,541,24
3655085,84784,1791
1471639,20797,486
5006125,122735,2655
1345656,44515,343
509675,6388,201
1950528,70517,1608
1767940,17058,521
315692,6141,74
677369,28035,528
35562010,765976,11378
354243090,7078517,396469
562645,11129,1115
182259,3067,206
99996,3813,77
6583476,112323,2113
270106,5229,152
478128,66012,165
2254837,120212,2276
6612242,322765,3943
17346984,823,810
781861,9815,315
1158803,18206,498
19361458,1287745,26057
2832369,214847,937
2867278,58849,747
204965,5087,44
175378,7720,49
1828624,18125,577
1173811,99165,1381
672842,34975,672
1958981,125163,1681
4563334,130337,1474
3601588,76688,2658
882574,26389,1106
421767,6618,128
175336,6032,158
805330,23108,564
8805432,245890,14466
296568,6568,62
136850,9532,121
923407,37020,978
825541,7181,411
5378648,306397,4784
1248467,9553,915
2312010,90737,1173
1820472,10198,903
1822915,30489,1793
1845986,118939,808
13806137,1110277,12970
1593366,103075,1435
84669,357,119
1284771,77098,1242
83155,184,39
445467,8492,137
836984,17117,299
14839357,452473,9198
247611,6979,133
1048195,47948,643
161866,7134,72
452882,2466,121
1740793,20697,915
1263064,38161,843
822619,51189,300
2439885,72579,1422
121088,2698,62
151098,27983,49
63889837,1366322,145215
1645679,49404,1819
141985,6022,1877
14531878,192296,4634
20093725,344343,51470
3008899,31852,1191
564706,35706,734
5480696,126945,2860
894254,62091,917
2090588,121017,5077
424111,4186,325
226001,3017,226
1281321,32561,5282
1718439,123215,472
1375722,97361,357
570328,30435,345
2185630,206296,1478
23282907,479030,14283
1256768,101653,6532
1974850,70974,4583
509252,16558,396
1029999,18526,492
388484,17009,388
4312084,71146,787
13723381,56262,3646
6229273,196244,3088
782372,9278,118
23248831,165229,8076
2000448,76987,1118
265014,11775,133
1049397,71136,1603
313100,39576,710
5697139,281796,3246
2160468,153324,1794
4311215,50461,4604
892930,44190,3318
938569,18727,389
2221321,162558,960
1969400,169724,806
450024,9785,229
704738,9950,241
2919792,150927,1376
2123136,27973,369
1978514,194441,4143
858997,72960,541
135946,263,138
1144817,5274,659
10418174,443757,14765
2453433,137937,1695
484960,23137,361
2362243,28743,2505
2341035,43218,532
2246069,50817,1406
2954098,301692,924
1527958,6489,930
1026147,42202,859
1813050,75941,294
367464,6565,296
170435,3194,54
2334655,14276,1575
252838,6087,182
1036702,32536,370
3826123,144086,20644
4007402,18025,5250
755788,55158,141
2275003,98357,3139
2524784,284704,3145
14920453,624819,7469
1122426,41129,582
614014,130630,215
575133,20370,542
1863219,74875,625
4028991,111355,1689
456432,14859,217
729088,56275,843
68613,637,12
1420632,77487,1020
4752088,139095,3235
1024226,35432,690
498289,2297,319
949721,26151,397
1731769,214597,3526
2002132,148455,536
2572438,255943,656
4922708,70444,3952
105111,5437,16
572239,9265,401
41795827,729369,22483
2423496,15565,720
1728128,18484,1342
179447,7586,102
1608691,154295,1107
4249287,474214,7042
5263678,124790,2912
708754,51481,771
1659685,35932,408
729820,48876,208
20202851,702525,13923
862177,9606,181
470622,4771,88
229365,8991,365
347149,1004,67
2265993,135059,1138
1186499,20441,344
648967,4317,969
4045614,106242,2315
231072,9170,217
78157,5371,106
351482,52291,194
241177,3828,157
55386,1718,47
454456,31653,796
502172,3689,251
4069015,61707,2718
319813,7231,271
1684563,62435,548
1902243,36621,1179
2697457,127337,1303
336647,20632,410
1272577,11709,587
1127429,36575,589
179545,33493,137
4268335,270910,7294
468200,3317,168
678881,22083,356
6499244,115312,3216
1167544,49942,1812
347641,13013,110
177296,2145,42
1094284,23691,584
3894061,142735,2528
578533,29055,295
644216,45628,681
3241445,272443,617
24782791,1460746,41153
213989597,1399402,71298
574446,8709,374
117285942,2961528,39871
4224904,229898,2751
325433,4370,67
223205,33419,89
2185078,289219,1374
268375,2586,188
73640063,869050,14593
910265,40425,356
967945,17248,953
1893652,56822,517
2228691,35404,1625
917400,77644,454
169293,8139,162
201332,3827,353
424149,7010,125
2940190,53091,1809
210178,1053,35
294654,30478,1215
4143433,92172,2318
2389481,74357,1202
488114,70173,716
3185584,72972,1231
3505209,33087,509
254979,4968,64
2630900,70131,1294
6026189,42517,17076
674504,25685,338
1699061,57221,1675
3280997,30860,493
194069,4156,157
562212,10620,1360
1578305,97843,966
584515,38140,408
79377,243,25
22579319,191379,3795
474585,48016,370
1675694,141820,1140
526369,22858,281
4122619,52705,1532
212503,13480,284
10199900,136848,26566
947238,13970,250
4599791,105310,3020
6413739,144472,1050
860514,32797,348
268977,35210,872
359043,5260,136
1977756,73460,698
511608,6318,126
591436,45223,765
660042,65066,281
2757321,106899,2017
424881,2944,76
3900476,101804,1851
11140303,595360,7822
797329,8390,303
143717,9920,484
23857269,592433,12211
4807127,207219,4103
375373,13108,448
5571042,457871,6769
508189,28856,792
6145132,117030,1406
865921,15537,480
1407828,40821,1106
1260432,19003,823
83200237,1588992,228806
272585,7513,183
124412,9142,203
896402,52251,278
447590,10746,236
213007,13788,455
869244,12965,182
513468,8391,127
1984005,54996,2400
490750,23766,233
348458,16791,327
992465,25663,375
21047797,144682,21006
26265827,2559592,32273
2170145,34278,555
620803,5091,229
373712,3776,474
290852,21103,579
839758,17878,149
2349347,110930,1603
201484,6471,80
1933870,26209,769
2065998,120736,2445
241629,13463,114
5606504,285977,1636
707401,5511,166
4011773,111666,2058
5838592,154984,1996
898026,52048,582
1803745,92163,2020
5455699,436783,10150
7346820,622020,10951
2360886,27735,718
3069365,124970,12023
224562,12657,66
4084457,51612,2875
1208168,32444,459
2663362,44104,976
151887,1615,31
915859,36937,420
2407490,22068,1077
13320366,345757,7121
815899,46190,1889
405613,16949,386
5165666,200033,3224
8279146,395255,4068
1824175,19070,590
1204149,39058,1251
48344,134,11
1309183,40926,826
87289,6874,59
213701,1623,19
8752310,6265,840
1267437,56135,591
2153509,23190,435
10902541,833639,26509
540133,11897,798
261927922,3729026,92669
22341875,330826,10660
736398,14716,268
1668880,8490,577
124171970,5744386,193284
208355,7923,223
292838,5376,88
1705839,78674,929
391808,2524,358
1593727,97153,3803
4209479,77802,2154
188449,10344,83
3192815,116062,1487
2106366,97737,1109
844152,12646,1190
715413,66350,713
585491,18167,280
3857960,175488,558
6844687,222266,8487
567068,57172,343
364966,18407,735
183364,7013,326
3590262,233417,4937
3602635,23495,735
993735,49198,552
618475,34366,682
316786,6530,130
1726644,90457,857
2177257,21450,722
9133831,1984016,4127
3502941,125687,3551
896080,25843,295
1869320,23471,952
2188590,88964,406
1009556,28503,677
280350,3153,133
2642395,192440,2762
3144237,116337,2018
2169720,144982,2761
1005656,72891,594
3415244,44328,1068
3061250,164457,3474
1434492,115606,553
2226297,193732,1743
1621799,23452,450
19137482,1540577,21798
3069967,131434,1741
2518224,44558,523
968435,52204,945
722555,9752,673
2231633,203143,1651
26603578,227517,4368
4730383,222071,1391
49805468,703865,19899
2526902,38316,1632
726428,9901,254
203625,2682,115
1415244,47332,2643
7759993,213173,2661
1525665,40446,400
33825584,2015973,51668
589194,19594,184
607151,22672,308
848802,27301,168
828588,12524,325
2265774,132509,1937
365652,13786,176
486770,47039,291
158342,6396,185
169018,5471,181
3137222,77526,1304
11179612,309503,10902
3220459,116341,2515
1383900,16081,339
2990496,29215,788
220553,9403,68
1323832,83984,4534
980010,61912,280
642779,54412,110
432907,7296,283
210812,4006,76
1432792,248739,259
565927,45573,1049
7021999,106816,4809
1111399,130340,1896
939533,27769,310
4669789,291202,2215
6668751,523063,2502
1572889,32230,1862
1230824,28403,1145
5339692,572627,5269
2430329,57546,48049
31067387,776708,15021
666162,49055,289
77569,2442,68
372450,25287,692
1010623,56588,242
1018029,52395,1445
12983938,258527,3171
253879,21180,278
27709201,602062,9262
3875928,271163,7802
5355820,120474,639
2726008,70534,1398
466952,5096,37085
423417,8121,435
1484357,24305,683
2268677,15652,979
771381,10903,817
439455,16328,222
11468031,188810,4910
1688002,12697,1514
258466,11285,102
285466,2514,267
907467,58616,889
2437249,28509,632
226078,16942,1446
360922,12913,196
3121054,106412,2888
42596940,902597,21444
5124693,162380,2026
117660,6290,69
172111,4275,109
1221016,39730,275
158999,4822,174
748169,9953,113
1362601,94655,980
490933,8398,1649
1493130,50421,662
424395,20399,250
451492,42029,518
115495,1115,48
432537,16846,673
296401,4022,283
1032846,14947,167
11904281,444256,16368
9125991,67637,6400
294815,2847,59
1050118,89182,1488
3047360,270743,1062
8820989,482269,6364
15774283,249477,3963
153609,4802,54
3608537,226039,2047
370432,7682,93
1886573,39973,561
2156244,31052,1746
2151355,41314,755
12108090,424104,7400
4625689,221515,1847
3168173,77258,1721
771818,19384,538
3370107,157286,1051
47061,4305,21
7128466,151814,2748
902123,46353,410
4037713,198723,3849
1128246,58236,739
4036252,94323,1306
1541958,29290,1903
1364882,19243,1676
419986,53846,230
862409,23623,1058
273340,15269,488
268544,46490,455
17872469,235290,5464
33109845,409279,20947
6969158,258617,6436
49695802,663834,6744
2420432,119236,877
41769232,523005,12174
419279,11257,331
882722,43513,1335
1837789,252630,746
1479158,135339,840
1039978,9182,850
441879,35272,1699
2795987,92563,1303
2741364,112338,1477
221253,3665,319
3886750,146266,1009
551635,13963,457
30599025,257991,5456
1916475,46719,966
29601239,913667,28922
1141695,55742,492
569691,43304,151
974292,2727,265
290425,6741,332
125413,5233,63
276984,18693,81
326786,17953,1007
3402473,18982,4308
589419,74281,995
4291220,435059,5247
22005663,573554,7611
2618930,526902,1348
7511660,68233,9577
318637,3051,142
2015539,39832,2223
2843046,122320,1083
1360350,49175,165
1261025,7701,954
3547069,170272,7519
4541953,176724,1871
5854465,304379,11114
298045,5790,225
134729,5764,266
14962505,230445,8115
6131525,401773,29504
810189,42732,728
186846,741,2731
657191,6696,285
168507,7423,133
2319706,123915,616
1961597,112090,1322
847577,4037,178
2460876,149738,684
975254,41825,525
3995284,122620,1449
1500820,85954,660
821658,23237,513
174881,2563,96
4387652,277890,2915
815557,9761,236
1130659,8403,838
638148,51664,361
7278239,647964,7497
14759492,159219,3728
243697,10949,182
114781,4527,33
3052238,89671,3157
82606,4383,91
51677664,1792506,22238
2687659,99627,1864
5485408,79236,2585
40138049,1384218,5930
673967,29038,589
433952,8678,234
192106,2400,24
306892,19951,169
289730,13992,145
1571887,74471,530
52577,2166,56
382588,3999,246
824999,14177,125
479121,38554,378
1925954,69713,979
2932605,60480,1108
574169,6074,101
1484789,53084,903
82533,953,92
4879073,288451,2079
2553444,22421,1758
1161543,57630,583
1133120,8685,444
4132953,61458,1745
1811970,101294,967
160234180,11729606,83338
22807984,334676,6730
483458,7869,97
7096531,128038,3180
3080585,119488,1639
3060277,24536,1421
100218,2009,276
761160,47842,2843
